NCRAS_Draw	Stage	Months	OS	CSS	Age
Stomach	III	0.9959999620914459	0	0.9763292694091796	80-84 years
Stomach	III	2.003999948501587	0	0.9205007934570313	80-84 years
Stomach	III	3	0	0.8585245513916016	80-84 years
Stomach	III	3.996000051498413	0	0.8052525329589844	80-84 years
Stomach	III	5.003999948501587	0	0.7585169982910156	80-84 years
Stomach	III	6	0	0.7289236450195312	80-84 years
Stomach	III	9	0	0.5947912979125977	80-84 years
Stomach	III	12	0	0.4854640197753906	80-84 years
Stomach	III	15	0	0.41620792388916017	80-84 years
Stomach	III	18	0	0.34851421356201173	80-84 years
Stomach	III	21	0	0.2895530700683594	80-84 years
Stomach	III	24	0	0.25050527572631837	80-84 years
Stomach	III	27	0	0.20572877883911134	80-84 years
Stomach	III	30	0	0.17671360015869142	80-84 years
Stomach	III	33	0	0.1530176258087158	80-84 years
Stomach	III	36	0	0.14753210067749023	80-84 years
Stomach	III	39	0	0.13042180061340333	80-84 years
Stomach	III	42	0	0.12901331901550292	80-84 years
Stomach	III	45	0	0.1320485782623291	80-84 years
Stomach	III	48	0	0.135228271484375	80-84 years
Stomach	III	51	0	0.12593379974365235	80-84 years
Stomach	III	54	0	0.1294996738433838	80-84 years
Stomach	III	57	0	0.13337018013000487	80-84 years
Stomach	III	60	0	0.13776784896850586	80-84 years
Stomach	IV	0.9959999620914459	0	0.7664144897460937	80-84 years
Stomach	IV	2.003999948501587	0	0.5673274993896484	80-84 years
Stomach	IV	3	0	0.4403535842895508	80-84 years
Stomach	IV	3.996000051498413	0	0.3685871505737305	80-84 years
Stomach	IV	5.003999948501587	0	0.30741071701049805	80-84 years
Stomach	IV	6	0	0.2587038230895996	80-84 years
Stomach	IV	9	0	0.18451173782348632	80-84 years
Stomach	IV	12	0	0.12822108268737792	80-84 years
Stomach	IV	15	0	0.08463823318481445	80-84 years
Stomach	IV	18	0	0.07393996238708496	80-84 years
Stomach	IV	21	0	0.05651202201843262	80-84 years
Stomach	IV	24	0	0.04788832187652588	80-84 years
Stomach	IV	27	0	0.043970284461975095	80-84 years
Stomach	IV	30	0	0.03835531234741211	80-84 years
Stomach	IV	33	0	0.028717734813690186	80-84 years
Stomach	IV	36	0	0.02772233009338379	80-84 years
Stomach	IV	39	0	0.024757206439971924	80-84 years
Stomach	IV	42	0	0.02335344076156616	80-84 years
Stomach	IV	45	0	0.019420437812805176	80-84 years
Stomach	IV	48	0	0.01986162185668945	80-84 years
Stomach	IV	51	0	0.017162657976150512	80-84 years
Stomach	IV	54	0	0.012929062843322753	80-84 years
Stomach	IV	57	0	0.013263820409774781	80-84 years
Stomach	IV	60	0	0.013619066476821899	80-84 years
Stomach	Unknown/missing	0.9959999620914459	0	0.7911378479003907	80-84 years
Stomach	Unknown/missing	2.003999948501587	0	0.6931809997558593	80-84 years
Stomach	Unknown/missing	3	0	0.6206341552734375	80-84 years
Stomach	Unknown/missing	3.996000051498413	0	0.5682358169555664	80-84 years
Stomach	Unknown/missing	5.003999948501587	0	0.5304491424560547	80-84 years
Stomach	Unknown/missing	6	0	0.49838584899902344	80-84 years
Stomach	Unknown/missing	9	0	0.4005424499511719	80-84 years
Stomach	Unknown/missing	12	0	0.34208045959472655	80-84 years
Stomach	Unknown/missing	15	0	0.30190540313720704	80-84 years
Stomach	Unknown/missing	18	0	0.2663980484008789	80-84 years
Stomach	Unknown/missing	21	0	0.23538730621337892	80-84 years
Stomach	Unknown/missing	24	0	0.20996774673461915	80-84 years
Stomach	Unknown/missing	27	0	0.1978365707397461	80-84 years
Stomach	Unknown/missing	30	0	0.18246858596801757	80-84 years
Stomach	Unknown/missing	33	0	0.17107845306396485	80-84 years
Stomach	Unknown/missing	36	0	0.160170955657959	80-84 years
Stomach	Unknown/missing	39	0	0.15069384574890138	80-84 years
Stomach	Unknown/missing	42	0	0.14643239974975586	80-84 years
Stomach	Unknown/missing	45	0	0.14367198944091797	80-84 years
Stomach	Unknown/missing	48	0	0.13798414230346678	80-84 years
